รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
03603495-60,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),T12
03603499-60,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),T12
03603432-60,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),T12
03603451-60,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),T12
03603471-60,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),T12
03603496-60,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,T12
03603498-60,"Special Problems
ปัญหาพิเศษ",1,T12
03600390-60,"Co-operative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6),T12
03600490-60,"Co-operative Education
สหกิจศึกษา",6,T12
01355101-65,"English for Everyday Life
ภาษาอังกฤษในชีวิตประจำวัน",3(3-0-6),T12
01355102-65,"English for University Life
ภาษาอังกฤษในมหาวิทยาลัย",3(3-0-6),T12
01355103-65,"English for Job Opportunities
ภาษาอังกฤษเพื่อโอกาสในการทำงาน",3(3-0-6),T12
03754xxx-65,กลุ่มวิชาภาษาอังกฤษเลือก (03754xxx),3(3-0-6),T12
03603171-65,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6),T12
03603352-65,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6),T12
03603251-65,"Database Systems
ระบบฐานข้อมูล",3(3-0-6),T12
03603252-65,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2),T12
03603212-65,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6),T12
03603213-65,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6),T12
03603214-65,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2),T12
03603241-65,"Application Development
การพัฒนาโปรแกรมประยุกต์",3(3-0-6),T12
03603341-65,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8),T12
03603342-65,"Combined Information Technology for Software Development Laboratory
ปฏิบัตการผสานเทคโนโลยีสารสนเทศเพื่อการพัฒนาซอฟต์แวร์",1(0-3-2),T12
03603211-65,"Discrete Mathematics
วิยุตคณิต",3(3-0-6),T12
03603312-65,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6),T12
03603325-65,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6),T12
03603332-65,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6),T12
03601203-65,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),T12
03601303-65,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),T12
03603221-65,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),T12
03603222-65,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),T12
03603223-65,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),T12
03603323-65,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6),T12
03603324-65,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2),T12
03603497-65,"Seminar
สัมมนา",1,T12
03603321-65,"Computer Networks Laboratory
ปฏิบัติการเครือข่ายคอมพิวเตอรื",3(1-6-6),T12
03603421-65,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6),T12
03603422-65,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),T12
03603423-65,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),T12
03603426-65,"Cyber Security
ความมั่นคงปลอดภัยไซเบอร์",3(3-0-6),T12
03603427-65,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),T12
03603428-65,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),T12
03603429-65,"Cryptography and Blockchain Technology
วิทยาการเข้ารหัสลับและเทคโนโลยีบบล็อกเชน",3(3-0-6),T12
03603411-65,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),T12
03603435-65,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6),T12
03603436-65,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6),T12
03603437-65,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6),T12
03603482-65,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),T12
03603484-65,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),T12
03603441-65,"Software Testing
การทดสอบซอฟต์แวร์",3(3-0-6),T12
01204213-65,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6),T12
03603351-65,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),T12
03603452-65,"Mining Big Data
การทำเหมืองข้อมูลบิ๊กดาต้า",3(3-0-6),T12
03603461-65,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),T12
03603462-65,"Machine Learning
การเรียนรู้ของเครื่อง",3(3-0-6),T12
03603463-65,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),T12
03603465-65,"Natural Language Processing
การประมวลผลภาษาธรรมชาติ",3(3-0-6),T12
03603381-65,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),T12
03603382-65,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),T12
03603383-65,"Digital Identification
การระบุตัวตนดิจิทัล",3(3-0-6),T12
03603464-65,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),T12
03603481-65,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6),T12
03603485-65,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),T12
03603371-65,"Application Development for Embedded Devices
การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์ฝังตัว",3(3-0-6),T12
03603471-65,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),T12
03603472-65,"Industrial Automation and Control
ระบบอัตโนมัติและการควบคุมทางอุตสาหกรรม",3(3-0-6),T12
03603473-65,"Digital Circuit Design with VHDL
การออกแบบวงจรดิจิทัลด้วยวีเอชดีแอล",3(3-0-6),T12
03603474-65,"Real-Time Operating System
ระบบปฏิบัติการเวลาจริง",3(3-0-6),T12
03603475-65,"Sensors and Transducer
อุปกรณ์รับรู้และตัวแปรสัญญาณ",3(3-0-6),T12
03603476-65,"Embedded System Circuit Design
การออกแบบวงจรระบบสมองกลฝังตัว",3(3-0-6),T12
03603495-65,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),T12
03603499-65,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),T12
03603432-65,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),T12
03603451-65,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),T12
03603496-65,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,T12
03603498-65,"Special Problems
ปัญหาพิเศษ",1,T12
03601201-60,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6),T13
03601202-60,"Electrical Engineering Laboratory
ปฏิบัติการวิศวกรรมไฟฟ้า",1(0-3-2),T13
03602311-60,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T13
03604211-60,"Computer Aided Mechanical Engineering Design
การออกแบบใช้คอมพิวเตอร์ช่วยในงานวิศวกรรมเครื่องกล",3(2-3-6),T13
03604221-60,"Engineering Mechanics I
กลศาสตร์วิศวกรรม I",3(3-0-6),T13
03604222-60,"Engineering Mechanics II
กลศาสตร์วิศวกรรม II",3(3-0-6),T13
03604241-60,"Thermodynamics I
อุณหพลศาสตร์ I",3(3-0-6),T13
03604242-60,"Fluid Mechanics
กลศาสตร์ของไหล",3(3-0-6),T13
03604261-60,"Mechanics of Materials
กลศาสตร์ของวัสดุ",3(3-0-6),T13
03604271-60,"Introduction to Numerical Methods
วิธีเชิงตัวเลขเบื้องต้น",3(2-3-6),T13
03604281-60,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T13
03604321-60,"Mechanics of Machinery
กลศาสตร์ของเครื่องจักรกล",3(3-0-6),T13
03604322-60,"Mechanical Vibration
การสั่นเชิงกล",3(3-0-6),T13
03604323-60,"Engineering Measurements
การวัดทางวิศวกรรม",3(3-0-6),T13
03604331-60,"Internal Combustion Engines
เครื่องยนต์เผาไหม้ภายใน",3(3-0-6),T13
03604332-60,"Mechanics of Vehicles
กลศาสตร์ยานยนต์",3(3-0-6),T13
03604341-60,"Thermodynamics II
อุณหพลศาสตร์ II",3(3-0-6),T13
03604351-60,"Heat Transfer
การถ่ายโอนความร้อน",3(3-0-6),T13
03604352-60,"Refrigeration I
การทำความเย็น I",3(3-0-6),T13
03604361-60,"Machine Design I
การออกแบบเครื่องจักรกล I",3(3-0-6),T13
03604371-60,"Automatic Control
การควบคุมอัตโนมัติ",3(3-0-6),T13
03604381-60,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T13
03604382-60,"Mechanical Engineering Laboratory II
ปฏิบัติการวิศวกรรมเครื่องกล II",1(0-3-2),T13
03604441-60,"Fluid Machinery
เครื่องจักรกลของไหล",3(3-0-6),T13
03604442-60,"Power Plant Engineering
วิศวกรรมโรงผลิตกำลัง",3(3-0-6),T13
03604451-60,"Air Conditioning
การปรับอากาศ",3(3-0-6),T13
03604461-60,"Machine Design II
การออกแบบเครื่องจักรกล II",3(2-3-6),T13
03604497-60,"Seminar
สัมมนา",1,T13
03604333-60,"Vehicle System Design
การออกแบบระบบยานยนต์",3(2-3-6),T13
03604334-60,"Safety for Motor Vehicle
ความปลอดภัยของยานยนต์",3(3-0-6),T13
03604432-60,"Automotive Powertrains
เพาเวอร์เทรนส์ยานยนต์",3(3-0-6),T13
03604433-60,"Automotive Chassis
แชสซียานยนต์",3(3-0-6),T13
03604435-60,"Machinery Management
การจัดการเครื่องจักรกล",3(3-0-6),T13
03604444-60,"Solar Energy
พลังงานรังสีอาทิตย์",3(3-0-6),T13
03604445-60,"Gas Turbines
กังหันก๊าซ",3(3-0-6),T13
03604453-60,"Computational Fluid Dynamics
พลศาสตร์ของไหลเชิงคำนวณ",3(3-0-6),T13
03604462-60,"Principles of Fire Safety
หลักความปลอดภัยด้านอัคคีภัย",3(3-0-6),T13
03604463-60,"Design of Water-Based Fire Protection Systems
การออกแบบระบบป้องกันอัคคีภัยที่ใช้น้ำเป็นองค์ประกอบหลัก",3(3-0-6),T13
03604465-60,"Plumbing System Design
การออกแบบระบบท่อ",3(3-0-6),T13
03604466-60,"Designof Smoke Control Systems
การออกแบบระบบควบคุมควันไฟ",3(3-0-6),T13
03604495-60,"Mechanical and Design Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมเครื่องกลและการออกแบบ",1(0-3-2),T13
03604496-60,"Selected Topics in Mechanical and Design Engineering
เรื่องเฉพาะทางวิศวกรรมเครื่องกลและการออกแบบ",3(3-0-6),T13
03604498-60,"Special Problems
ปัญหาพิเศษ",45352,T13
03604499-60,"Mechanical and Design Engineering Project
โครงงานวิศวกรรมเครื่องกลและการออกแบบ",2(0-6-3),T13
03601201-65,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6),T13
03601202-65,"Electrical Engineering Laboratory
ปฏิบัติการวิศวกรรมไฟฟ้า",1(0-3-2),T13
03602311-65,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T13
03604211-65,"Computer Aided Mechanical Engineering Design
การออกแบบใช้คอมพิวเตอร์ช่วยในงานวิศวกรรมเครื่องกล",3(2-3-6),T13
03604241-65,"Thermodynamics I
อุณหพลศาสตร์ I",3(3-0-6),T13
03604242-65,"Fluid Mechanics
กลศาสตร์ของไหล",3(3-0-6),T13
03604261-65,"Mechanics of Materials
กลศาสตร์ของวัสดุ",3(3-0-6),T13
03604262-65,"Health Safely and Environment
อาชีวอนามัย ความปลอดภัย และสิ่งแวดล้อม",3(3-0-6),T13
03604271-65,"Digital Technology in Mechanical Engineering
เทคโนโลบีดิจิทัลทางวิศวกรรมเครื่องกล",3(2-3-6),T13
03604281-65,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T13
03604321-65,"Mechanics of Machinery
กลศาสตร์ของเครื่องจักรกล",3(3-0-6),T13
03604322-65,"Mechanical Vibration
การสั่นเชิงกล",3(3-0-6),T13
03604323-65,"Engineering Measurements
การวัดทางวิศวกรรม",3(3-0-6),T13
03604331-65,"Internal Combustion Engines
เครื่องยนต์เผาไหม้ภายใน",3(3-0-6),T13
03604341-65,"Thermodynamics II
อุณหพลศาสตร์ II",3(3-0-6),T13
03604351-65,"Heat Transfer
การถ่ายโอนความร้อน",3(3-0-6),T13
03604353-65,"Refrigeration and Air Conditioning
การทำความเย็นและการปรับอากาศ",3(3-0-6),T13
03604361-65,"Machine Design I
การออกแบบเครื่องจักรกล I",3(3-0-6),T13
03604371-65,"Automatic Control
การควบคุมอัตโนมัติ",3(3-0-6),T13
03604381-65,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T13
03604435-65,"Machinery Management
การจัดการเครื่องจักรกล",3(3-0-6),T13
03604442-65,"Power Plant Engineering
วิศวกรรมโรงผลิตกำลัง",3(3-0-6),T13
03604461-65,"Machine Design II
การออกแบบเครื่องจักรกล II",3(2-3-6),T13
03604463-65,"Design of Water-Based Fire Protection Systems
การออกแบบระบบป้องกันอัคคีภัยที่ใช้น้ำเป็นองค์ประกอบหลัก",3(3-0-6),T13
03604471-65,"Robots,Artificial Intelligence,and Internet of Things
หุ่นยนต์ ปัญญาประดิษฐ์ และอินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),T13
03604497-65,"Seminar
สัมมนา",1(1-0-2),T13
03604495-65,"Mechanical and Design Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมเครื่องกลและการออกแบบ",1(0-3-2),T13
03604499-65,"Mechanical and Design Engineering Project
โครงงานวิศวกรรมเครื่องกลและการออกแบบ",2(0-6-3),T13
03604332-65,"Mechanics of Vehicles
กลศาสตร์ยานยนต์",3(3-0-6),T13
03604333-65,"Vehicle System Design
การออกแบบระบบยานยนต์",3(2-3-6),T13
03604334-65,"Safety for Motor Vehicle
ความปลอดภัยของยานยนต์",3(3-0-6),T13
03604432-65,"Automotive Powertrains
เพาเวอร์เทรนส์ยานยนต์",3(3-0-6),T13
03604433-65,"Automotive Chassis
แชสซียานยนต์",3(3-0-6),T13
03604437-65,"Lubrication
การหล่อลื่น",3(3-0-6),T13
03604441-65,"Fluid Machinery
เครื่องจักรกลของไหล",3(3-0-6),T13
03604444-65,"Solar Energy
พลังงานรังสีอาทิตย์",3(3-0-6),T13
03604445-65,"Gas Turbines
กังหันก๊าซ",3(3-0-6),T13
03604453-65,"Computational Fluid Dynamics
พลศาสตร์ของไหลเชิงคำนวณ",3(3-0-6),T13
03604462-65,"Principles of Fire Safety
หลักความปลอดภัยด้านอัคคีภัย",3(3-0-6),T13
03604382-65,"Mechanical Engineering Laboratory II
ปฏิบัติการวิศวกรรมเครื่องกล II",1(0-3-2),T13
03604465-65,"Plumbing System Design
การออกแบบระบบท่อ",3(3-0-6),T13
03604466-65,"Design of Smoke Control Systems
การออกแบบระบบควบคุมควันไฟ",3(3-0-6),T13
03604496-65,"Selected Topics in Mechanical and Design Engineering
เรื่องเฉพาะทางวิศวกรรมเครื่องกลและการออกแบบ",3(3-0-6),T13
03604498-65,"Special Problems
ปัญหาพิเศษ",3-Jan,T13
03601211-60,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6),T14
03601212-60,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6),T14
03601213-60,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2),T14
03601214-60,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6),T14
03601215-60,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
03601231-60,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6),T14
03601232-60,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6),T14
03601251-60,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6),T14
03601252-60,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2),T14
03601271-60,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2),T14
03601311-60,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6),T14
03601331-60,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2),T14
03601332-60,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6),T14
03601341-60,"Electromagnetic Fields and Waves I 
สนามแม่เหล็กไฟฟ้าและคลื่น I",3(3-0-6),T14
03601361-60,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6),T14
03601362-60,"Linear Control Systems 
ระบบควบคุมเชิงเส้น",3(3-0-6),T14
03601371-60,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2),T14
03601495-60,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2),T14
03601497-60,"Seminar 
สัมมนา",1,T14
03601499-60,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3),T14
03604201-60,"Basic Principles of Engineering Mechanics 
หลักพื่นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T14
03604281-60,"Workshop Practice 
การฝึกงานโรงงาน",1(0-3-2),T14
03601314-60,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6),T14
03601315-60,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2),T14
03601321-60,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6),T14
03601323-60,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2),T14
03601333-60,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2),T14
03601334-60,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6),T14
03601335-60,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2),T14
03601351-60,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6),T14
03601352-60,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2),T14
03601353-60,"Power Systems in Buildings 
ระบบกำลังในอาคาร",3(3-0-6),T14
03601354-60,"Electric Power Systems Analysis I 
การวิเคราะห์ระบบไฟฟ้ากำลัง I",3(3-0-6),T14
03601355-60,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
03601356-60,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6),T14
03601363-60,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2),T14
03601364-60,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6),T14
03601365-60,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2),T14
03601372-60,"Volunteer Electrical Engineer for Social Development 
วิศวกรไฟฟ้าอาสาสําหรับการพัฒนาสังคม",3(3-0-6),T14
03601381-60,"Computer Programming for Electrical Engineers 
การเขียนโปรแกรมคอมพิวเตอร์สําหรับวิศวกรไฟฟ้า",3(3-0-6),T14
03601432-60,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6),T14
03601433-60,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6),T14
03601451-60,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6),T14
03601452-60,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6),T14
03601453-60,"Electric Power Systems Analysis II 
การวิเคราะห์ระบบไฟฟ้ากำลัง II",3(3-0-6),T14
03601454-60,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2),T14
03601456-60,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6),T14
03601457-60,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6),T14
03601458-60,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6),T14
03601459-60,Safety in Electrical Engineering,3(3-0-6),T14
03601461-60,"Process Control 
การควบคุมกระบวนการ",3(3-0-6),T14
03601462-60,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6),T14
03601463-60,"Computer Control of Machines and Processes 
การควบคุมเครื่องจักรกลและกระบวนการด้วยคอมพิวเตอร์",3(3-0-6),T14
03601464-60,"Sensors and Transducers 
เซนเซอร์และตัวแปลงสัญญาณ",3(3-0-6),T14
03601465-60,"Electrical and Electronics Innovation 
นวัตกรรมทางไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
03601466-60,"Introduction to Robotic Systems 
ระบบหุ่นยนต์เบื้องต้น",3(3-0-6),T14
03601471-60,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6),T14
03601472-60,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6),T14
03601473-60,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6),T14
03601474-60,"Power Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์กำลัง",1(0-3-2),T14
03601475-60,"Power Electronics for Energy Conservation 
อิเล็กทรอนิกส์กำลังสำหรับการอนุรักษ์พลังงาน",3(3-0-6),T14
03601476-60,"Distributed Generation Systems 
ระบบผลิตไฟฟ้าจำหน่าย",3(3-0-6),T14
03601477-60,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6),T14
03601478-60,"Energy Conservation and Management 
การอนุรักษ์และการจัดการพลังงาน",3(3-0-6),T14
03601479-60,"Electric Vehicle Systems 
ระบบยานยนต์ไฟฟ้า",3(3-0-6),T14
03601482-60,"Thermal Sciences 
อุณหศาสตร์",3(3-0-6),T14
03601496-60,"Selected Topics in Electrical and Electronics Engineering 
เรื่องเฉพาะทางวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
03601498-60,"Special Problems 
ปัญหาพิเศษ",45352,T14
03601211-65,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6),T14
03601212-65,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6),T14
03601213-65,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2),T14
03601214-65,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6),T14
03601215-65,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
03601221-65,"Communication Technology and Smart Grid 
เทคโนโลยีการสื่อสารและโครงข่ายไฟฟ้าอัจฉริยะ",3(3-0-6),T14
03601231-65,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6),T14
03601232-65,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6),T14
03601241-65,"Electromagnetic Fields and Waves 
สนามแม่เหล็กไฟฟ้าและคลื่น",3(3-0-6),T14
03601251-65,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6),T14
03601252-65,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2),T14
03601271-65,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2),T14
03601311-65,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6),T14
03601331-65,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2),T14
03601332-65,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6),T14
03601353-65,"Electrical System Design 
การออกแบบระบบไฟฟ้า",3(3-0-6),T14
03601361-65,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6),T14
03601371-65,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2),T14
03601458-65,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6),T14
03601459-65,Safety in Electrical Engineering,3(3-0-6),T14
03601473-65,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6),T14
03601477-65,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6),T14
03601495-65,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2),T14
03601497-65,"Seminar 
สัมมนา",1,T14
03601499-65,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3),T14
03602301-65,"Basic Principles of Production Management 
หลักพื้นฐานการจัดการผลิต",3(3-0-6),T14
03604223-65,"Basic Principles of Engineering Mechanics 
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T14
03604281-65,"Workshop Practice 
การฝึกงานโรงงาน",1(0-3-2),T14
